,index,frequency
736,O)[C@H](O)CCCCCCCCCCCCCCC,169
737,CCC5(C)C4,169
738,C(O)C(C),169
739,C[C@H]2,169
740,(=O)=O),169
741,(N),169
742,c1C,168
743,].[,168
744,N[C@@H](,168
745,[C@@]1(C)CC,167
746,C2=O,167
747,CCCC(C)=CCCC(C)=,166
748,CC(=O)[O-]),166
749,C3=,166
750,OC(C)(C),165
751,CC[C@@]21C,165
752,C=CC,165
753,C(=O)OC[C@H](COP(=O)(O)OCCN)OC(=O)CCCCCCCC,165
754,COP(=O)(O)OP(=O)(O),164
755,CN(C),164
756,N(C),162
757,CCC4=CC(=O),162
758,CC(OC6,162
759,C(OC4,162
760,[C@]1,161
761,CCCCCCCCCCC,161
762,CC1(C)CCC2,161
763,OC(CO)C(O)C(O)C7O),160
764,O=P(O)(O),160
765,CCCCCCCCCCCCC,160
766,CCCC2,160
767,CC[C@H](,160
768,C/,160
769,#N),160
770,Nc1cc,159
771,NS(=O)(=O),159
772,CN(,159
773,c1cccc2,158
774,[C@@H](COC(=O)CCCCCCCC=,158
775,N=C(N),158
776,+3,158
777,C1),157
778,c4ccc(O)cc4),156
779,cn(,155
780,[NH,154
781,OC(C)=O,154
782,N#,154
783,C(OP(=O)(O)O),154
784,COP(=O)(O)O,153
785,C(C)(O),153
786,oc(=O),152
787,c2c(=O),152
788,C(O)C(O)C2O),152
789,C(OC2,152
790,cnc2c1ncn2,151
791,cc(C),151
792,O[C@H]3,151
793,C8,151
794,n4,150
795,c1c(,150
796,O[C@H](C(=O)O),150
797,C(OC6OC(C(=O)O),150
798,C(C)(C)O),150
799,C(=O)N2,150
800,oc2cc(O),149
801,[C@@H](O)[C@H]1O,149
802,N3,149
803,CCCCCCC)COP(=O)(O),149
804,CCCC(=O)O,149
805,cc(O)c(O),148
806,c1ccc2c(c1),148
807,CC1OC(OC2,148
808,CC[C@@H](C),148
809,[C@@](C),147
810,CCC[C@H]1,147
811,CC[C@@H]2,147
812,CCO,96
813,CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCC,146
814,C(=O)O)C(=O)O,146
815,CC[C@]2,145
816,CC/C=C(\C)CC/C=C(\C),145
817,C1CCC2(C)C3,145
818,cc1O,144
819,[nH]c(,144
820,[Na+],144
821,C(O)C1,144
822,=C(O),144
823,(OC1,144
824,c3cc4,143
825,CCCCCCCCCCCCCCCC(=O),143
826,c3-,142
827,[P@,142
828,NCC,142
829,CC[C@@]21C),142
830,C3),142
831,c1cc(-,141
832,[C@]2,141
833,COc1cc2,141
834,CCCN1,141
835,CCCCCC=CCC=CCC=CCC=CCCCCC,141
836,CCCCC=CCCCCCCC,141
837,C1O)OC(=O)CCCCCCCC,141
838,C(N),141
839,cccc,140
840,NC(=O)[C@H](C,140
841,C=C(C)\C=C\,140
842,43C),140
843,O1),139
844,C1C2,139
845,c(O)c(O)c4),138
846,CCCCCC),138
847,=N),138
848,c2ccccc21,137
849,CCCCCCCCCC,137
850,CC=CCCCCCC,137
851,C1=C,137
852,C(O)C2O),136
853,C(=O)OC[C@H](COP(=O)(O)OCCN),136
854,cc(O)c12,135
855,c(O)cc2,135
856,[C@@]3,135
857,O[C@@H]4,135
858,OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC,135
859,C(=O)C(,135
860,Cc1ccccc1,72
